start_date,end_date,pub_date,Polling,Publisher,Con,Lab,LD,SDP,Green,Referendum,method,UKIP,BNP,TIG/CUK,BXP,BXP/Reform
1959-09-01,NA,1959-09-01,Gallup,News Chron,48.5,46.6,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-10-29,1959-10-02,NA,Gallup,News Chron,45,47,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-10-01,NA,1959-10-05,Gallup,News Chron,47.2,47.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-10-01,1959-10-05,NA,NOP,DM,48.4,46.9,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-10-01,NA,1959-10-06,NA,DE,49.7,46.2,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-10-01,1959-10-04,NA,Forecasting Statistics,DT,49,46,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-10-03,1959-10-06,NA,Gallup,News Chron,46.5,47.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-10-03,1959-10-06,1959-10-08,Gallup,News Chron,48.5,46.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-10-02,1959-10-05,1959-10-08,NOP,DM,48,44.1,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-10-01,NA,1959-10-08,NA,DE,49.1,45.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-10-01,NA,NA,Gallup,News Chron,48,46,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-11-01,NA,NA,Gallup,News Chron,48,44,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-12-01,NA,NA,Gallup,News Chron,47.5,44,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-01-01,1960-01-06,NA,Gallup,NA,47,43.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-01-09,1960-01-20,NA,Gallup,NA,47,42.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-02-05,1960-02-24,NA,Gallup,NA,47,43.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-03-11,1960-03-26,NA,Gallup,NA,47,42,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-04-06,1960-04-27,NA,Gallup,NA,45,42.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-03-01,1960-03-29,NA,Gallup,NA,45.5,42.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-06-03,1960-06-29,NA,Gallup,NA,45.5,43,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-07-01,1960-07-27,NA,Gallup,NA,47,43,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-08-25,1960-08-05,NA,Gallup,NA,47.5,42,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-09-08,1960-09-04,NA,Gallup,NA,47.5,40.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-10-20,1960-10-02,NA,Gallup,NA,50,37,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-11-03,1960-11-29,NA,Gallup,NA,46,40.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
