Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,UKIP,Green,BNP
,Jan,17-18,17/01/2011,,YouGov,Sun,39,2,44,2,8,-1,-5,0,Internet,,,,
,Jan,18-19,18/01/2011,,YouGov,Sun,37,-2,42,-2,9,1,-5,0,Internet,,,,
,Jan,19-20,19/01/2011,,YouGov,Sun,36,-1,43,1,10,1,-7,-2,Internet,,,,
,Jan,19-?,19/01/2011,,Opinium,,40,5,37,-1,10,-2,3,6,Internet,,,,
,Jan,20-21,20/01/2011,23,YouGov,ST,39,3,43,0,9,-1,-4,3,Internet,,,,
,Jan,21-23,21/01/2011,26,ICM,Gu,35,-2,39,0,15,2,-4,-2,Phone,,,,
,Jan,21-24,21/01/2011,27,MORI,Reuters,33,-5,43,4,13,2,-10,-9,Phone,Certain to vote,,,
,Jan,23-24,23/01/2011,,YouGov,Sun,37,-2,42,-1,11,2,-5,-1,Internet,,,,
,Jan,24-25,24/01/2011,,YouGov,Sun,37,0,43,1,10,-1,-6,-1,Internet,,,,
,Jan,25-26,25/01/2011,,Angus RS,,33,-2,41,1,12,0,-8,-3,Internet,,,,
,Jan,25-26,25/01/2011,,YouGov,Sun,39,2,41,-2,10,0,-2,4,Internet,,,,
,Jan,25-?,25/01/2011,,Opinium,,34,-6,38,1,12,2,-4,-7,Internet,,,,
,Jan,26-27,26/01/2011,,YouGov,Sun,38,-1,44,3,8,-2,-6,-4,Internet,,,,
,Jan,27-28,27/01/2011,30,Angus RS,SE,32,-1,43,2,11,-1,-11,-3,Internet,,,,
,Jan,27-28,27/01/2011,30,YouGov,ST,39,1,43,-1,8,0,-4,2,Internet,,,,
,Jan,28-30,28/01/2011,1,ComRes,Ind,34,0,43,1,10,-2,-9,-1,Phone,,,,
,Jan,30-31,30/01/2011,,YouGov,Sun,40,1,42,-1,8,0,-2,2,Internet,,,,
,Jan,31-1,31/01/2011,,YouGov,Sun,39,-1,44,2,8,0,-5,-3,Internet,,,,
,Feb,1-2,01/02/2011,,YouGov,Sun,36,-3,44,0,9,1,-8,-3,Internet,,,,
,Feb,2-3,02/02/2011,,YouGov,Sun,37,1,44,0,9,0,-7,1,Internet,,,,
,Feb,2-?,02/02/2011,,Opinium,,35,1,40,2,11,-1,-5,-1,Internet,,,,
,Feb,3-4,03/02/2011,6,YouGov,ST,36,-1,42,-2,10,1,-6,1,Internet,,,,
,Feb,4-6,04/02/2011,8,Populus,TT,36,,39,,11,,-3,,Phone,,,,
,Feb,6-7,06/02/2011,,YouGov,Sun,37,1,43,1,9,-1,-6,0,Internet,,,,
,Feb,7-8,07/02/2011,,YouGov,Sun,35,-2,43,0,10,1,-8,-2,Internet,,,,
,Feb,8-9,08/02/2011,,YouGov,Sun,36,1,43,0,10,0,-7,1,Internet,,,,
,Feb,8-10,08/02/2011,12,Angus RS,,34,2,40,-3,11,0,-6,5,Internet,,,,
,Feb,8-?,08/02/2011,,Opinium,,36,1,38,-2,11,0,-2,3,Internet,,,,
,Feb,9-10,09/02/2011,13,ComRes,IoS/SM,36,0,42,2,11,1,-6,-2,Internet,,,,
,Feb,9-10,09/02/2011,,YouGov,Sun,35,-1,44,1,10,0,-9,-2,Internet,,,,
,Feb,10-11,10/02/2011,13,YouGov,ST,35,0,45,1,9,-1,-10,-1,Internet,,,,
,Feb,13-14,13/02/2011,,YouGov,Sun,36,1,44,-1,10,1,-8,2,Internet,,,,
,Feb,14-15,14/02/2011,,YouGov,Sun,37,1,44,0,10,0,-7,1,Internet,,,,
,Feb,15-16,15/02/2011,,YouGov,Sun,35,-2,45,1,10,0,-10,-3,Internet,,,,
,Feb,15-16,15/02/2011,5,Angus RS,,33,-1,41,1,10,-1,-8,-2,Internet,,,,
,Feb,15-?,15/02/2011,,Opinium,,35,-1,36,-2,12,1,-1,1,Internet,,,,
,Feb,16-17,16/02/2011,,YouGov,Sun,36,1,42,-3,10,0,-6,4,Internet,,,,
,Feb,17-18,17/02/2011,20,YouGov,ST,37,1,41,-1,10,0,-4,2,Internet,,,,
,Feb,18-20,18/02/2011,21,ICM,Gu,35,0,38,-1,18,3,-3,1,Phone,,,,
,Feb,19-20,18/02/2011,24,MORI,Reuters,33,0,43,0,13,0,-10,0,Phone,Certain to vote,,,
,Feb,20-21,20/02/2011,,YouGov,Sun,36,-1,42,1,11,1,-6,-2,Internet,,,,
,Feb,21-22,21/02/2011,,YouGov,Sun,37,1,43,1,9,-2,-6,0,Internet,,,,
,Feb,22-23,22/02/2011,,YouGov,Sun,36,-1,44,1,11,2,-8,-2,Internet,,,,
