Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,
,Jan,30-3,30/01/2017,4,Opinium,Ob,37,-1,30,0,8,1,14,0,5,1,7,-1,Internet
,Feb,2-3,02/02/2017,4,YouGov,PB,,,,,,,,,,,,,Internet
,Feb,3-5,03/02/2017,7,ICM,Gu,42,0,27,1,10,0,12,-1,4,-1,15,-1,Internet
,Feb,3-6,03/02/2017,,Sky,,,,,,,,,,,,,,Internet
,Feb,5-6,05/02/2017,13,YouGov,TT,40,0,24,-2,11,0,14,2,4,0,16,2,Internet
,Feb,8-10,08/02/2017,11,ComRes,IoS/SM,41,,26,,11,,11,,4,,15,,Internet
,Feb,10-14,10/02/2017,16,Ipsos MORI,ES,40,-3,29,-2,13,2,9,3,4,0,11,-1,Phone
,Feb,12-13,12/02/2017,17,YouGov,TT,40,0,24,0,11,0,15,1,4,0,16,0,Internet
,Feb,14-16,14/02/2017,19,Opinium,Ob,40,3,27,-3,8,0,14,0,4,-1,13,6,Internet
,Feb,17-19,17/02/2017,20,ICM,Gu,44,2,26,-1,8,-2,13,1,4,0,18,3,Internet
,Feb,21-22,21/02/2017,,YouGov,TT,41,1,25,1,11,0,13,-2,3,-1,16,0,Internet
,Feb,21-24,21/02/2017,,BMG,,,,,,,,,,,,,,Internet
,Feb,27-28,27/02/2017,1,YouGov,TT,42,1,25,0,11,0,12,-1,4,1,17,1,Internet
,Mar,1-15,01/03/2017,27,GfK,,41,,28,,7,,12,,6,,13,,Internet
,Mar,3-5,03/03/2017,7,ICM,Gu,44,0,28,2,8,0,11,-2,5,1,16,-2,Internet
,Mar,8-9,08/03/2017,10,YouGov,TT,44,2,25,0,11,-1,10,-1,3,-1,19,2,Internet
,Mar,10-13,10/03/2017,,Sky,,,,,,,,,,,,,,Internet
,Mar,10-14,10/03/2017,16,Ipsos MORI,ES,43,3,30,1,13,0,6,-3,4,0,13,2,Phone
,Mar,13-14,13/03/2017,15,YouGov,TT,44,0,27,2,10,-1,9,-1,4,1,17,-2,Internet
,Mar,14-17,14/03/2017,19,Opinium,Ob,41,1,28,1,8,0,13,-1,3,-1,13,0,Internet
,Mar,15-17,15/03/2017,19,ComRes,IoS/SM,42,1,25,-1,12,1,10,-1,4,0,17,2,Internet
,Mar,17-19,17/03/2017,20,ICM,Gu,45,1,26,-2,9,1,10,-1,4,-1,19,3,Internet
,Mar,20-21,20/03/2017,22,YouGov,TT,41,-3,25,-2,11,1,12,3,3,-1,16,-1,Internet
,Mar,21-28,21/03/2017,10,Lord Ashcroft,,41,,28,,9,,10,,,,13,,Internet
,Mar,26-27,26/03/2017,29,YouGov,TT,43,2,25,0,11,0,10,-2,3,0,18,2,Internet
,Mar,27-28,27/03/2017,,YouGov,,,,,,,,,,,,,,
,Mar,28-29,28/03/2017,,YouGov,,,,,,,,,,,,,,
,Mar,28-31,28/03/2017,,BMG,,,,,,,,,,,,,,Internet
,Mar,31-2,31/03/2017,3,ICM,Gu,43,-2,25,-1,11,2,11,1,4,0,18,-1,Internet
,Apr,5-6,05/04/2017,11,YouGov,TT,42,-1,25,0,11,0,11,1,3,0,17,-1,Internet
,Apr,11-13,11/04/2017,15,Opinium,Ob,38,-3,29,1,7,-1,14,1,5,2,9,-4,Internet
,Apr,11-13,11/04/2017,15,ComRes,IoS/SM,46,4,25,0,11,-1,9,-1,4,0,21,4,Internet
,Apr,12-13,12/04/2017,17,YouGov,TT,44,2,23,-2,12,1,10,-1,4,1,21,4,Internet
,Apr,14-17,14/04/2017,18,ICM,Gu,44,1,26,1,10,-1,11,0,4,0,18,0,Internet
,Apr,18,18/04/2017,18,ICM,Gu,46,2,25,-1,11,1,8,-3,4,0,21,3,Internet
,Apr,18-19,18/04/2017,20,YouGov,TT,48,4,24,1,12,0,7,-3,2,-2,24,3,Internet
,Apr,19-20,19/04/2017,22,Opinium,Ob,45,7,26,-3,11,4,9,-5,3,-2,19,10,Internet
,Apr,19-20,19/04/2017,23,ComRes,IoS/SM,50,4,25,0,11,0,7,-2,3,-1,25,4,Internet
,Apr,19-20,19/04/2017,23,ORB,STel ,44,,29,,8,,10,,,,15,,Internet
,Apr,19-20,19/04/2017,,YouGov,,,,,,,,,,,,,,
,Apr,19-21,19/04/2017,23,ICM,ITV,48,2,26,1,10,-1,8,0,3,-1,22,1,Internet
,Apr,20-21,20/04/2017,23,YouGov,ST,48,0,25,1,12,0,5,-2,3,1,23,-1,Internet
,Apr,20-24,20/04/2017,25,Kantar TNS,,46,,24,,11,,8,,4,,22,,Internet
,Apr,20-24,20/04/2017,26,Panelbase,,49,,27,,10,,5,,3,,22,,Internet
,Apr,20-24,20/04/2017,25,ComRes,,48,,29,,11,,3,,2,,19,,Phone
,Apr,21-22,21/04/2017,23,Survation,MoS,40,2,29,0,11,1,11,-2,2,0,11,2,Internet
,Apr,,,23,Norstat,S Express,42,,26,,10,,8,,6,,16,,
,Apr,21-24,21/04/2017,24,ICM,Gu,48,0,27,1,10,0,7,-1,3,0,21,-1,Internet
,Apr,21-24,21/04/2017,,BMG,,,,,,,,,,,,,,Internet
,Apr,21-25,21/04/2017,26,Ipsos MORI,ES,49,6,26,-4,13,0,4,-2,1,-3,23,10,Phone
,Apr,25-26,25/04/2017,27,YouGov,TT,45,-3,29,4,10,-2,7,2,3,0,16,-7,Internet
,Apr,25-28,25/04/2017,29,Opinium,Ob,47,2,30,4,8,-3,7,-2,3,0,17,-2,Internet
,Apr,26-27,26/04/2017,30,ORB,STel ,42,-2,31,2,10,2,8,0,,,11,-4,Internet
,Apr,27-28,27/04/2017,30,YouGov,ST,44,-1,31,2,11,1,6,-1,2,-1,13,-3,Internet
,Apr,26-28,26/04/2017,30,ICM,Sun on Sunday,47,-1,28,1,9,-1,8,1,4,1,19,-2,Internet
,Apr,27-1,27/04/2017,13,Lord Ashcroft,,,,,,,,,,,,,,
,Apr,27-2,27/04/2017,3,Kantar TNS,,48,2,24,0,11,0,7,-1,4,0,24,,Internet
,Apr,28-1,28/04/2017,8,Qriously,,44,,29,,9,,8,,4,,15,,Mobile
,Apr,28-2,28/04/2017,2,ICM,Gu,47,0,28,0,8,-1,8,0,4,0,19,0,Internet
